txn_id,amount,ip_address,is_fraud,location,txn_type,account,device,time_stamp,oldBalance,newBalance,userId,deviceId
TXN0001,120.5,192.168.1.1,FALSE,New York,DEBIT,SAVINGS,MOBILE,2025-01-01T09:00:00,5000,4879.5,U001,D001
TXN0002,75,192.168.1.2,FALSE,London,DEBIT,CHECKING,WEB,2025-01-01T09:02:00,1200,1125,U002,D002
TXN0003,2500,10.0.0.3,TRUE,Moscow,DEBIT,CHECKING,WEB,2025-01-01T09:04:00,3000,500,U003,D003
TXN0004,300,172.16.0.4,FALSE,Paris,CREDIT,SAVINGS,ATM,2025-01-01T09:06:00,2000,2300,U004,D004
TXN0005,45.75,192.168.1.5,FALSE,Berlin,DEBIT,SAVINGS,MOBILE,2025-01-01T09:08:00,800,754.25,U005,D005
TXN0006,1800,203.0.113.6,TRUE,Beijing,DEBIT,CHECKING,WEB,2025-01-01T09:10:00,2000,200,U006,D006
TXN0007,90,198.51.100.7,FALSE,Madrid,DEBIT,SAVINGS,ATM,2025-01-01T09:12:00,950,860,U007,D007
TXN0008,600,192.0.2.8,FALSE,Rome,CREDIT,CHECKING,ATM,2025-01-01T09:14:00,1400,2000,U008,D008
TXN0009,25,192.168.1.9,FALSE,Tokyo,DEBIT,SAVINGS,MOBILE,2025-01-01T09:16:00,500,475,U009,D009
TXN0010,3500,10.10.10.10,TRUE,Lagos,DEBIT,CHECKING,WEB,2025-01-01T09:18:00,3800,300,U010,D010
TXN0011,110,192.168.1.11,FALSE,Toronto,DEBIT,SAVINGS,MOBILE,2025-01-01T09:20:00,900,790,U011,D011
TXN0012,700,203.0.113.12,FALSE,Sydney,CREDIT,CHECKING,ATM,2025-01-01T09:22:00,1300,2000,U012,D012
TXN0013,1600,10.0.0.13,TRUE,Kyiv,DEBIT,SAVINGS,WEB,2025-01-01T09:24:00,1800,200,U013,D013
TXN0014,55,192.168.1.14,FALSE,Amsterdam,DEBIT,CHECKING,MOBILE,2025-01-01T09:26:00,600,545,U014,D014
TXN0015,420,172.16.0.15,FALSE,Vienna,DEBIT,SAVINGS,ATM,2025-01-01T09:28:00,1100,680,U015,D015
TXN0016,5000,203.0.113.16,TRUE,Dubai,DEBIT,CHECKING,WEB,2025-01-01T09:30:00,5200,200,U016,D016
TXN0017,85,192.168.1.17,FALSE,Zurich,DEBIT,SAVINGS,MOBILE,2025-01-01T09:32:00,700,615,U017,D017
TXN0018,1200,192.0.2.18,FALSE,Chicago,CREDIT,SAVINGS,ATM,2025-01-01T09:34:00,1800,3000,U018,D018
TXN0019,2400,10.1.1.19,TRUE,Jakarta,DEBIT,CHECKING,WEB,2025-01-01T09:36:00,2600,200,U019,D019
TXN0020,95,192.168.1.20,FALSE,Seoul,DEBIT,SAVINGS,MOBILE,2025-01-01T09:38:00,650,555,U020,D020
TXN0021,220,198.51.100.21,FALSE,New York,DEBIT,CHECKING,WEB,2025-01-01T09:40:00,1000,780,U021,D021
TXN0022,310,192.0.2.22,TRUE,Moscow,DEBIT,SAVINGS,ATM,2025-01-01T09:42:00,2000,1690,U022,D022
TXN0023,150.5,10.10.10.23,FALSE,London,DEBIT,CHECKING,MOBILE,2025-01-01T09:44:00,800,649.5,U023,D023
TXN0024,4000,203.0.113.24,TRUE,Beijing,DEBIT,SAVINGS,WEB,2025-01-01T09:46:00,4500,500,U024,D024
TXN0025,60,192.168.1.25,FALSE,Berlin,DEBIT,CHECKING,ATM,2025-01-01T09:48:00,700,640,U025,D025
TXN0026,900,172.16.0.26,FALSE,Paris,CREDIT,SAVINGS,MOBILE,2025-01-01T09:50:00,1200,2100,U026,D026
TXN0027,75,192.0.2.27,FALSE,Tokyo,DEBIT,CHECKING,WEB,2025-01-01T09:52:00,600,525,U027,D027
TXN0028,250,10.0.0.28,TRUE,Lagos,DEBIT,SAVINGS,ATM,2025-01-01T09:54:00,300,50,U028,D028
TXN0029,500,198.51.100.29,FALSE,Sydney,CREDIT,CHECKING,MOBILE,2025-01-01T09:56:00,1500,2000,U029,D029
TXN0030,130,192.168.1.30,FALSE,Toronto,DEBIT,SAVINGS,WEB,2025-01-01T09:58:00,800,670,U030,D030
TXN0031,1600,192.0.2.31,TRUE,Kyiv,DEBIT,CHECKING,ATM,2025-01-01T10:00:00,1800,200,U031,D031
TXN0032,85,203.0.113.32,FALSE,Amsterdam,DEBIT,SAVINGS,MOBILE,2025-01-01T10:02:00,700,615,U032,D032
TXN0033,400,10.1.1.33,FALSE,Vienna,CREDIT,CHECKING,WEB,2025-01-01T10:04:00,1200,1600,U033,D033
TXN0034,4200,192.168.1.34,TRUE,Dubai,DEBIT,SAVINGS,ATM,2025-01-01T10:06:00,4500,300,U034,D034
TXN0035,110,198.51.100.35,FALSE,Zurich,DEBIT,CHECKING,MOBILE,2025-01-01T10:08:00,900,790,U035,D035
TXN0036,95.5,192.0.2.36,FALSE,Chicago,DEBIT,SAVINGS,WEB,2025-01-01T10:10:00,650,554.5,U036,D036
TXN0037,500,10.0.0.37,TRUE,Jakarta,DEBIT,CHECKING,ATM,2025-01-01T10:12:00,700,200,U037,D037
TXN0038,75,192.168.1.38,FALSE,Seoul,DEBIT,SAVINGS,MOBILE,2025-01-01T10:14:00,600,525,U038,D038
TXN0039,230,192.0.2.39,FALSE,New York,DEBIT,CHECKING,WEB,2025-01-01T10:16:00,1000,770,U039,D039
TXN0040,1200,203.0.113.40,TRUE,Moscow,DEBIT,SAVINGS,ATM,2025-01-01T10:18:00,1400,200,U040,D040
TXN0041,50,10.10.10.41,FALSE,London,DEBIT,CHECKING,MOBILE,2025-01-01T10:20:00,500,450,U041,D041
TXN0042,300,192.168.1.42,FALSE,Beijing,DEBIT,SAVINGS,WEB,2025-01-01T10:22:00,1000,700,U042,D042
TXN0043,80,172.16.0.43,FALSE,Berlin,DEBIT,CHECKING,ATM,2025-01-01T10:24:00,700,620,U043,D043
TXN0044,2500,192.0.2.44,TRUE,Paris,DEBIT,SAVINGS,MOBILE,2025-01-01T10:26:00,2700,200,U044,D044
TXN0045,130,198.51.100.45,FALSE,Tokyo,DEBIT,CHECKING,WEB,2025-01-01T10:28:00,600,470,U045,D045
TXN0046,450,10.1.1.46,FALSE,Lagos,CREDIT,SAVINGS,ATM,2025-01-01T10:30:00,1500,1950,U046,D046
TXN0047,95,192.168.1.47,FALSE,Sydney,DEBIT,CHECKING,MOBILE,2025-01-01T10:32:00,650,555,U047,D047
TXN0048,3200,203.0.113.48,TRUE,Toronto,DEBIT,SAVINGS,WEB,2025-01-01T10:34:00,3500,300,U048,D048
TXN0049,55,192.0.2.49,FALSE,Kyiv,DEBIT,CHECKING,ATM,2025-01-01T10:36:00,600,545,U049,D049
TXN0050,150,10.0.0.50,FALSE,Amsterdam,DEBIT,SAVINGS,MOBILE,2025-01-01T10:38:00,1000,850,U050,D050
TXN0051,75.5,192.168.1.51,FALSE,Vienna,DEBIT,CHECKING,WEB,2025-01-01T10:40:00,800,724.5,U051,D051
TXN0052,180,10.0.0.52,TRUE,Dubai,DEBIT,SAVINGS,ATM,2025-01-01T10:42:00,2000,1820,U052,D052
TXN0053,95,192.168.1.53,FALSE,Zurich,DEBIT,CHECKING,MOBILE,2025-01-01T10:44:00,700,605,U053,D053
TXN0054,500,203.0.113.54,FALSE,Chicago,CREDIT,SAVINGS,WEB,2025-01-01T10:46:00,1500,2000,U054,D054
TXN0055,210,192.0.2.55,TRUE,Jakarta,DEBIT,CHECKING,ATM,2025-01-01T10:48:00,2500,2290,U055,D055
TXN0056,60,198.51.100.56,FALSE,Seoul,DEBIT,SAVINGS,MOBILE,2025-01-01T10:50:00,500,440,U056,D056
TXN0057,130,192.168.1.57,FALSE,New York,DEBIT,CHECKING,WEB,2025-01-01T10:52:00,900,770,U057,D057
TXN0058,400,10.10.10.58,TRUE,Moscow,DEBIT,SAVINGS,ATM,2025-01-01T10:54:00,1200,800,U058,D058
TXN0059,85,192.0.2.59,FALSE,London,DEBIT,CHECKING,MOBILE,2025-01-01T10:56:00,600,515,U059,D059
TXN0060,300,203.0.113.60,FALSE,Beijing,CREDIT,SAVINGS,WEB,2025-01-01T10:58:00,1000,1300,U060,D060
TXN0061,55,192.168.1.61,FALSE,Berlin,DEBIT,CHECKING,ATM,2025-01-01T11:00:00,700,645,U061,D061
TXN0062,2500,10.0.0.62,TRUE,Paris,DEBIT,SAVINGS,MOBILE,2025-01-01T11:02:00,2800,300,U062,D062
TXN0063,140,192.0.2.63,FALSE,Tokyo,DEBIT,CHECKING,WEB,2025-01-01T11:04:00,800,660,U063,D063
TXN0064,450,198.51.100.64,FALSE,Lagos,CREDIT,SAVINGS,ATM,2025-01-01T11:06:00,1500,1950,U064,D064
TXN0065,75,192.168.1.65,FALSE,Sydney,DEBIT,CHECKING,MOBILE,2025-01-01T11:08:00,650,575,U065,D065
TXN0066,3200,203.0.113.66,TRUE,Toronto,DEBIT,SAVINGS,WEB,2025-01-01T11:10:00,3500,300,U066,D066
TXN0067,55,192.0.2.67,FALSE,Kyiv,DEBIT,CHECKING,ATM,2025-01-01T11:12:00,600,545,U067,D067
TXN0068,150,10.0.0.68,FALSE,Amsterdam,DEBIT,SAVINGS,MOBILE,2025-01-01T11:14:00,1000,850,U068,D068
TXN0069,75,192.168.1.69,FALSE,Vienna,DEBIT,CHECKING,WEB,2025-01-01T11:16:00,800,725,U069,D069
TXN0070,180,10.10.10.70,TRUE,Dubai,DEBIT,SAVINGS,ATM,2025-01-01T11:18:00,2000,1820,U070,D070
TXN0071,95,192.168.1.71,FALSE,Zurich,DEBIT,CHECKING,MOBILE,2025-01-01T11:20:00,700,605,U071,D071
TXN0072,500,203.0.113.72,FALSE,Chicago,CREDIT,SAVINGS,WEB,2025-01-01T11:22:00,1500,2000,U072,D072
TXN0073,210,192.0.2.73,TRUE,Jakarta,DEBIT,CHECKING,ATM,2025-01-01T11:24:00,2500,2290,U073,D073
TXN0074,60,198.51.100.74,FALSE,Seoul,DEBIT,SAVINGS,MOBILE,2025-01-01T11:26:00,500,440,U074,D074
TXN0075,130,192.168.1.75,FALSE,New York,DEBIT,CHECKING,WEB,2025-01-01T11:28:00,900,770,U075,D075
TXN0076,400,10.10.10.76,TRUE,Moscow,DEBIT,SAVINGS,ATM,2025-01-01T11:30:00,1200,800,U076,D076
TXN0077,85,192.0.2.77,FALSE,London,DEBIT,CHECKING,MOBILE,2025-01-01T11:32:00,600,515,U077,D077
TXN0078,300,203.0.113.78,FALSE,Beijing,CREDIT,SAVINGS,WEB,2025-01-01T11:34:00,1000,1300,U078,D078
TXN0079,55,192.168.1.79,FALSE,Berlin,DEBIT,CHECKING,ATM,2025-01-01T11:36:00,700,645,U079,D079
TXN0080,2500,10.0.0.80,TRUE,Paris,DEBIT,SAVINGS,MOBILE,2025-01-01T11:38:00,2800,300,U080,D080
TXN0081,140,192.0.2.81,FALSE,Tokyo,DEBIT,CHECKING,WEB,2025-01-01T11:40:00,800,660,U081,D081
TXN0082,450,198.51.100.82,FALSE,Lagos,CREDIT,SAVINGS,ATM,2025-01-01T11:42:00,1500,1950,U082,D082
TXN0083,75,192.168.1.83,FALSE,Sydney,DEBIT,CHECKING,MOBILE,2025-01-01T11:44:00,650,575,U083,D083
TXN0084,3200,203.0.113.84,TRUE,Toronto,DEBIT,SAVINGS,WEB,2025-01-01T11:46:00,3500,300,U084,D084
TXN0085,55,192.0.2.85,FALSE,Kyiv,DEBIT,CHECKING,ATM,2025-01-01T11:48:00,600,545,U085,D085
TXN0086,150,10.0.0.86,FALSE,Amsterdam,DEBIT,SAVINGS,MOBILE,2025-01-01T11:50:00,1000,850,U086,D086
TXN0087,75,192.168.1.87,FALSE,Vienna,DEBIT,CHECKING,WEB,2025-01-01T11:52:00,800,725,U087,D087
TXN0088,180,10.10.10.88,TRUE,Dubai,DEBIT,SAVINGS,ATM,2025-01-01T11:54:00,2000,1820,U088,D088
TXN0089,95,192.168.1.89,FALSE,Zurich,DEBIT,CHECKING,MOBILE,2025-01-01T11:56:00,700,605,U089,D089
TXN0090,500,203.0.113.90,FALSE,Chicago,CREDIT,SAVINGS,WEB,2025-01-01T11:58:00,1500,2000,U090,D090
TXN0091,210,192.0.2.91,TRUE,Jakarta,DEBIT,CHECKING,ATM,2025-01-01T12:00:00,2500,2290,U091,D091
TXN0092,60,198.51.100.92,FALSE,Seoul,DEBIT,SAVINGS,MOBILE,2025-01-01T12:02:00,500,440,U092,D092
TXN0093,130,192.168.1.93,FALSE,New York,DEBIT,CHECKING,WEB,2025-01-01T12:04:00,900,770,U093,D093
TXN0094,400,10.10.10.94,TRUE,Moscow,DEBIT,SAVINGS,ATM,2025-01-01T12:06:00,1200,800,U094,D094
TXN0095,85,192.0.2.95,FALSE,London,DEBIT,CHECKING,MOBILE,2025-01-01T12:08:00,600,515,U095,D095
TXN0096,300,203.0.113.96,FALSE,Beijing,CREDIT,SAVINGS,WEB,2025-01-01T12:10:00,1000,1300,U096,D096
TXN0097,55,192.168.1.97,FALSE,Berlin,DEBIT,CHECKING,ATM,2025-01-01T12:12:00,700,645,U097,D097
TXN0098,2500,10.0.0.98,TRUE,Paris,DEBIT,SAVINGS,MOBILE,2025-01-01T12:14:00,2800,300,U098,D098
TXN0099,140,192.0.2.99,FALSE,Tokyo,DEBIT,CHECKING,WEB,2025-01-01T12:16:00,800,660,U099,D099
TXN0100,4500,203.0.113.100,TRUE,Caracas,DEBIT,SAVINGS,ATM,2025-01-01T12:18:00,4800,300,U100,D100
